,Content,Location,Username,Retweet-Count,Favorites,Created at
32,"#Bitcoin – Do you think it will reach $60k soon? - Looks like the $1,400 stimulus is going towards #BTC - https://t.co/YIwiMrFgap – Great Stock Alerts #pennystocks #stockalerts https://t.co/OFYA4wAUpJ",,ando_daisy,0,0,2021-03-30 20:27:10
33,"Rest assured one thing is consistent with Democrats 

They are true Snake oil salespeople!

Lies, distortions and plagiarizing other peoples hard work! https://t.co/AvFEIZ5Vjp",United States,Herb92I,0,0,2021-03-30 20:27:09
34,@TomJona42504025 @SpeakerPelosi Agree! What about the seniors? Where are the stimulus check?,,Barbara98872429,0,0,2021-03-30 20:27:03
35,"Federal stimulus money could be transformative for NYC’s public school system. But it’s not clear exactly how much money is coming or when. 

Education advocates said they are closely watching the state budget for more clarity. https://t.co/ftXCX91DuW",New York City,WNYC,0,2,2021-03-30 20:27:01
36,"IRS projects stimulus payments to non-filer Social Security and other federal beneficiaries will be disbursed [APRIL 7th]
https://t.co/IDqCJR8fZ2",South Central Arkansas,NeeterWoman,0,0,2021-03-30 20:26:55
37,If we get the 4th Stimulus I’m getting extra beef on my Chipotle from UberEats.🤑,The Kingdom,PharaohMouton,0,0,2021-03-30 20:26:42
38,"We want to invite you to check out our inventory😍‼️ We've got #luxury #cars, to #trucks, to #SUVs👏! W/ #stimulus payments &amp; #taxseason💰, there's never been a better time for a new ride💨! Come see why we're the #BestoftheWest⭐️😎!

Shop our inventory👉: https://t.co/hJHFTRFLIb https://t.co/mVRvqAr1l8","Lubbock, TX",HayesMotorUsed,0,0,2021-03-30 20:26:39
39,"Rep. Madison Cawthorn (R-NC) made a big show out of opposing the American Rescue Plan, but now that the stimulus is in his district, he’s trying to take the credit.

https://t.co/XFmHP7y0DL via @politicususa 
https://t.co/SEsXydKuIn",Toronto,PaulCogan,0,0,2021-03-30 20:26:24
40,"Rep. Madison Cawthorn (R-NC) made a big show out of opposing the American Rescue Plan, but now that the stimulus is in his district, he’s trying to take the credit.

 https://t.co/EqIemQPeSr via @politicususa","Pennsylvania, USA",PoliticusSarah,7,21,2021-03-30 20:26:23
41,"Proof democrats are for the people!

#BidenCalm
#COVID19
#Covid_19
#vaccinate
#COVID19Vaccine

https://t.co/gl1WYwFMqB",,SocialWorkerLSW,0,0,2021-03-30 20:26:19
42,@JosephBarnhurst Oh shit he got a stimulus we're all fucked now,,NathanLarsen20,0,0,2021-03-30 20:26:18
43,How come this is the only stimulus check I didn’t immediately get,california ,katiewileyy,0,0,2021-03-30 20:26:13
44,"From rent relief to aid for restaurants, the $1.9 trillion stimulus package has lots of goodies for real estate. https://t.co/dCSkbZ1ERE https://t.co/6ICeJyASBA","Spring Branch, TX, US, 78070",va_texas,0,0,2021-03-30 20:26:11
45,"@BillPascrell April 7th. That's the drop date for our stimulus, says IRS today. We, the most vulnerable, refuse to be pawns in Trump's appointed saboteurs little game. He, nor Saul &amp; Black care about our survival. We are just playthings to use &amp; destroy Therefore, we must #FireSaulAndBlack","Not left, not right, forward!",alleged_leigh,0,0,2021-03-30 20:26:01
46,The IRS still doesn't have a stimulus payment date for VA recipients. This proves how little they care about our veterans. What a disappointment. Someone needs to be held accountable for this screwup.,"Florida, USA",Chad94686735,0,0,2021-03-30 20:26:01
47,@seanhannity Pelosi should check the stats on AMMO and GUN sales as these Stimulus Checks go out??,,JuanLGonzalez16,0,0,2021-03-30 20:25:59
48,still haven’t gotten the stimulus https://t.co/2IGemHxWid,🏔🌒,glowkit7,0,0,2021-03-30 20:25:59
49,@mstee0226 Supposedly 2 Trump appointees in the Social Security department are holding up some stimulus checks.  They will be paid but they’re delaying them.,"Phoenix, AZ",bplace01,0,0,2021-03-30 20:25:46
50,"#Bitcoin – Do you think it will reach $60k soon? - Looks like the $1,400 stimulus is going towards https://t.co/c3oUrezlIh – Great Stock Alerts #pennystocks #stockalerts #BTC https://t.co/1Gw7NEKjrd",,annmaurice0325,0,0,2021-03-30 20:25:41
51,My mood after learning there is a 4th stimulus 📈📈📈📈,,annikarede,0,0,2021-03-30 20:25:40
52,"@_coo1ie Hi there, thank you for reaching out. I understand your frustration with not receiving your refund or stimulus. I would be more than happy to help. Please send me a direct message to better assist. -Alexis https://t.co/moLUTivCaG","San Diego, CA & Tucson, AZ",TeamTurboTax,0,0,2021-03-30 20:25:39
53,"huntington, wv charleston, wv Social Security Commissioner Andrew Saul. a political appointee of the ex administration didn't do his job and slowed down many on social security from getting stimulus check. https://t.co/ja21vWOrYx","Ashland, KY",areck0001,0,0,2021-03-30 20:25:31
54,"Treasury General Account drained = more funds firehosed into the markets.

This $1trillion combined with new stimulus announcements means $100K #Bitcoin party is sooner than expected. @michael_saylor @johnkvallis https://t.co/vi4voCjeLD",The Cloud  ,SajidIsmail,0,0,2021-03-30 20:25:29
55,Stimulus checks: Delayed payments for millions of Americans expected to land next week https://t.co/wM299leax7 via @Yahoo, PA  ,susieq2457,0,1,2021-03-30 20:25:28
56,"So the wife and I decided to take a bit of our stimulus money and upgrade our kitchen a bit. 

If anyone is wondering Induction cooktops are AMAZING!

Ice water to rolling boil in less than 90 seconds.","Alachua, FL",irromfh,0,0,2021-03-30 20:25:22
57,Third stimulus check: IRS to begin sending payments for social security recipients https://t.co/HQGNoEZjDE via @WUSA9,"Wytheville, VA",joyce8787434,0,0,2021-03-30 20:25:16
58,"Unc @JoeBiden @POTUS my man, what’s this I hear about possible 4th stimulus? 👀 You going to hook a brotha up right? You know we go way back! 😁  #StimulusCheck https://t.co/iHFLiyLQt4",... ,Kin6_Strong,0,0,2021-03-30 20:25:14
59,Conservative commentator predicts #indyschool enrollment increase due to public school choices during pandemic: https://t.co/PHSJKuGa7R | @washingtonpost https://t.co/6SqPWKo9eM,"Washington, DC",shieldsNBOA,0,0,2021-03-30 20:25:12
60,"I wrote this article after the first COVID stimulus in April 2020. I believe the principles still apply with many Americans receiving the latest stimulus payment. I hope it encourages you to think about how you might invest in God’s Kingdom, as He leads.  https://t.co/E6EwcxGZ0x","Gresham, Oregon",randyalcorn,0,2,2021-03-30 20:25:10
61,"Social Security recipients will begin receiving their $1,400 stimulus checks on April 7, Treasury Department says https://t.co/FsrRUYVxxA","New York, NY",economics,2,0,2021-03-30 20:25:10
62,Stimulus Checks for Social Security Recipients to Arrive April 7 https://t.co/aioLfIibRE #SmartNews,Portland,herlihy_f,0,0,2021-03-30 20:25:09
63,"@IRSnews

I find it very strange that I have not received my tax transcripts that I requested on February 18th, or my stimulus check and my return was rejected but I received this damn collection notice. I check my credit report every year and there has never been anything https://t.co/IT57ZYI9YJ https://t.co/v5uP0YNd6o",,lamo79bley,0,0,2021-03-30 20:25:09
64,@JoeBiden  I voted for you thinking things would be better and you know what I can't even get my dang stimulus check at least with that psycho in the white house I got my stimulus checks now it's disabled people none of us are getting our checks. Not getting my vote next time,"Corpus Christi, TX",tduckk37,0,0,2021-03-30 20:25:08
65,"ICYMI, read my best- and worst-case scenarios for how the stimulus $ for K-12 education might get spent: https://t.co/AoVpn5m8LT",,ChadAldeman,0,0,2021-03-30 20:25:00
66,@SenSanders @SenWarren I’ll support more stimulus payments if you can explain how you’ll pay for them.  We have to do something with  the deficit.,,Jean_DuMet,0,0,2021-03-30 20:24:57
67,I’m still sitting on my taxes and stimulus😩🤞🏾,Hawaii📸,_PerfectTitties,0,0,2021-03-30 20:24:56
68,@SpeakerPelosi I will believe it when I see it like stimulus for retirees!,ARKANSAS,CEEJAY2,0,0,2021-03-30 20:24:55
69,"my mom gonna be sick af when the irs contact her for fraud, she better enjoy my stimulus checks while she can😜",san diego ,uniheyy,0,1,2021-03-30 20:24:54
70,Stimulus payments may arrive next week for millions of federal beneficiaries. https://t.co/tcNLaQzsOl https://t.co/5tL8vQORXn,"Morgantown, WV",dubvNOW,1,1,2021-03-30 20:24:53
71,It would be nice to get my stimulus check in the mail tomorrow. I want some extra cash for the bar on MLB Opening Day...,Worldwide,DamnHeFione,0,0,2021-03-30 20:24:50
72,"The stable Global Recovery needs more financial stimulus. #Tuesday Never underestimate consumers
https://t.co/H0CMRCSeZA","Toronto, Canada",CEORetail,0,0,2021-03-30 20:24:38
73,"In his Inauguration speech, JFK said,  ""Ask not what your Country can do for you,  bit what can you do For your Country."" 

Today, the American motto is ""What can 'Uncle Sugar' give to me."" The Commies shut down our Economy with the ""Stimulus $$"" the bribe to makes dependent. https://t.co/LzAA8jyb1I",The NSA Knows,CorporalBen,0,0,2021-03-30 20:24:34
74,Calls For A Fourth Stimulus Check Gains Support In Congress https://t.co/UXKlfX9dvf,,lipstickalley,1,0,2021-03-30 20:24:25
75,"@CKJCryptonews Still waiting on that Stimulus money so I can dump it right back where it belongs, in crypto.",Oregon ,TheFATEof2021,0,0,2021-03-30 20:24:20
76,"The #IRS might still owe you a $1,400 stimulus check if you fall into this category https://t.co/79W8oZfYiM","Wisconsin, USA",WildforestSue,0,0,2021-03-30 20:24:20
77,"@SpeakerPelosi Where’s the accountability and auditing? It would be great to know that every dollar was spent as it is supposed to. Now, where’s my stimulus payment?",,CherylAnneJami1,0,0,2021-03-30 20:24:18
78,"IMF Lifts Forecast Amid Vaccination, Stimulus Increase https://t.co/S7FxHq7yLB",,Wilkensonknaggs,0,0,2021-03-30 20:24:17
79,"Obama admin did some really stupid stuff: 37% of the $787 billion stimulus package went to tax credits  ""proponents believed that the refundability feature would make it more accessible for low income people.""","Charlottesville, VA",Julian_Carta,0,0,2021-03-30 20:24:09
80,"Rep. Madison Cawthorn (R-NC) made a big show out of opposing the American Rescue Plan, but now that the stimulus is in his district, he’s trying to take the credit.

https://t.co/2s2zmeQTih via @politicususa",USA,politicususa,5,4,2021-03-30 20:24:07
81,"Rep. Braxton Mitchell, R-Columbia Falls, calls the idea of a state stimulus check a ""socialist policy.""","Helena, Montana",eidietrich,0,0,2021-03-30 20:23:57
82,@RepCawthorn Grants they’re receiving from the Economic Stimulus Bill that you voted against.  You can’t cheer for something that you tried to prevent from occurring!,Blue Dot in the IL 18th ,Royalstar2363,0,0,2021-03-30 20:23:48
83,Social Security recipients to get their stimulus checks on April 7 https://t.co/cWSB4MhSMm #DC,Road Warrior,candidate7153,1,1,2021-03-30 20:23:37
84,"Many Social Security, other federal beneficiaries to start receiving $1,400 stimulus checks on April 7 https://t.co/XheZdcTsbx #DC",Road Warrior,candidate7153,1,1,2021-03-30 20:23:37
85,Stimulus checks for social security recipients are coming April 7 https://t.co/CQes7pXkkZ,"Rhode Island, USA",clesowich,0,0,2021-03-30 20:23:31
86,"Three stimulus checks from the government, but none from George Soros. Take THAT right wingers!",L.A.,EnterTheSwett,0,1,2021-03-30 20:23:29
87,republicans in west virginia like carol miller know the truth that it was ssa administration political appointee from the ex administration that didn't hand over information to the irs to get out the stimulus checks and then blamed democrats for her failure. shame on her. liar.,"Ashland, KY",areck0001,0,0,2021-03-30 20:23:25
88,"Victoria’s Secret-owner L Brands shares jump on raised profit outlook, thanks to stimulus boost https://t.co/BFGeM8fGME",,HAccordingly,0,0,2021-03-30 20:23:24
89,"I feel bad for Major.  Being in the White House is an overwhelming experience and some dogs, especially older like he is, can’t handle new stimulus like that. Poor guy is probably overwhelmed and slightly scared. https://t.co/KvtNiWM1MP","Portland, OR",TrueManBearPig,0,0,2021-03-30 20:23:21
90,when will my stimulus return from the war 😔 😔,,thosesepiaskies,0,1,2021-03-30 20:23:15
91,The IMF lifts its global growth forecast with vaccination and stimulus likely to be a shot in the arm https://t.co/RYDcLzprjq,Wittenberg University,barasajoel2,0,0,2021-03-30 20:23:15
92,@RepCawthorn .@RepCawthorn this is money from the American Rescue Package aka the stimulus. You did deliver for NC-11.  You voted against it.,"North Carolina, USA",rualncfemale,0,0,2021-03-30 20:23:12
93,"SSI, SSDI, veterans and stimulus checks: IRS sending payments later this week https://t.co/Gdlug32EIV via @CNET","Pennsylvania, USA",alpine106,0,0,2021-03-30 20:23:05
94,"ok 105.9 is my fav station except when they are doing an double stimulus giveaway. Not everyone got one. My moms on SSD and never got on. Stop playing and paying lol. I am not eligible or one either. My lady got $4,200 tho. WTF",United States,product_of_pdx,0,0,2021-03-30 20:23:03
95,She’s dreaming and lying again!!  https://t.co/IIHTfryjM8,USA,LovesMelaleuca,0,0,2021-03-30 20:22:59
96,#IRS says it's processing stimulus checks for #federal beneficiaries - Mar 30 @ 4:21 PM ET https://t.co/AH9FnqVo2b,USA,PulpNews,0,0,2021-03-30 20:22:57
97,"Fourth stimulus check gains momentum, Democrats to push Biden for recurring payments https://t.co/tp8iQlZiyU","Upper Darby, Pa.",martinbuggy,0,0,2021-03-30 20:22:55
98,Stimulus check update: Senators push Biden to send recurring payments https://t.co/DeTdQYPLrX,"El Paso, Texas  United States",silverncopper,1,1,2021-03-30 20:22:45
99,@DiMartinoBooth @Quillintel @SoberLook for now. 10Y will eventually push to ~2% where FED will panic and start buying. Top that with stimulus after stimulus = gold lot higher. But gold may first fall to ~$1600 before marches lot above $2k.,,biasedworld,0,0,2021-03-30 20:22:44
100,The IRS is now saying April 7th for stimulus payments for SSI and SSDI WTF haven't we waited long enough. Why not this week. Get your shit together IRS ppl need this money now,"Florida, USA",Chad94686735,0,0,2021-03-30 20:22:41
101,"https://t.co/bhxTRG4E5h

Millions of Social Security and other federal benefits recipients who are still waiting on their stimulus checks will have their payments processed in the next...","Joliet, IL",Sylvaners,0,0,2021-03-30 20:22:37
102,Where is my Stimulus,"Pennsylvania, USA",sandraweiss1754,0,0,2021-03-30 20:22:31
103,"Questions on tax filing, stimulus checks, and more? Get them answered at CFF's first event in the Spring Speaker Series. Luz Chow is an Enrolled Tax Agent from H&amp;R Block, w/ 20+ yrs of experience. Come Thurs 4/1 at 8pm PST! Register here: https://t.co/bh5wfdJxGZ https://t.co/WqbTN92XJV",Santa Barbara,AS_UCSB,0,0,2021-03-30 20:22:27
104,Income tax and stimulus got these bitches smelling themselves and ima let em 😂🥱,"Texas, USA",EsgMann,0,0,2021-03-30 20:22:25
105,"Guess I’ll use my stimulus check to pay for a necessary medical procedure that I’ve put off because I couldn’t afford it, even with insurance.

At least I have enough to pay most of it now.

#MedicareForAll 
#stimulus","Colorado, USA",PTittiAndSA,0,0,2021-03-30 20:22:21
106,Stimulus payments may arrive next week for millions of federal beneficiaries. https://t.co/lZfvAAr8Ne,,CX0xVqiE0NYFrOE,0,0,2021-03-30 20:22:19
107,REALITY CHECK: Pelosi Claims Dems’ Stimulus Bill is ‘Cutting Poverty Rat... https://t.co/TXtJorORjT,"Columbus, GA",WDAK,0,0,2021-03-30 20:22:15
108,"Stimulus checks are rolling in, make sure you spend yours wisely. https://t.co/4n59lxddMY via @revue","Kenton County, KY",UKKentonExt,0,0,2021-03-30 20:22:10
109,"@kmcl33 @seanhannity Well if they work that hard for money then why is our government giving them free medical, food stamps, stimulus  money &amp; free schooling when our kid in this country going hungry &amp; no schools open for them",,Theresa24580514,0,0,2021-03-30 20:22:09
110,@seanhannity Stimulus payments prevent people from going bankrupt or starving when the Free Market is Moody. Also stimulates a stagnant economy. Was it Trump who warned about Biden and the markets?  Aha. Lol.,"Ontario, Canada 🇨🇦",retiredknitwit,0,1,2021-03-30 20:21:57
111,#Delayed #Stimulus #checks for #SocialSecurity recipients to be sent soon. That would be #ME! A group of #Trump #appointees DELIBERATELY #delayed them to ding #Biden! https://t.co/pqXp9DCp5M,USA,ehornaday,0,0,2021-03-30 20:21:55
112,Can I get my stimulus check,,itsjusssFargo,0,0,2021-03-30 20:21:41
113,@_MealsOnWheels @SenWhitehouse @MealsRI Anyone but seniors needing stimulus go figure,"Rhode Island, USA",desmuma,0,0,2021-03-30 20:21:39
114,Social Security Recipients Who Missed Stimulus Checks Will Get Paid Soon https://t.co/8St1JZ8zMR,,PressNewsAgency,0,0,2021-03-30 20:21:33
115,@SpeakerPelosi Great when does VA COMPENSATION AND PENSION RECIPIENTS GET OUR STIMULUS,Dallas Texas,mmfu,0,0,2021-03-30 20:21:32
116,and the big lie continues. i saw it was that former guys appointee who was slowing it down. all she did was say she wasn't effective at her job. if wv general assembly has any sense she'll be the one that loses her job. fire her. https://t.co/II6HSkjlGT,"Ashland, KY",areck0001,0,0,2021-03-30 20:21:20
117,"is ther anothr stimulus comin got sum girls i needa marry in gfl, need my gov gacha funds",trash star,slime____bimbo,0,9,2021-03-30 20:21:17
118,"Nobody:
Kimora: god mommy you got your stimulus check??? 
Get her away from me😂😂😂",,baylabandzz,0,0,2021-03-30 20:21:11
119,People on Social Security who don't file tax returns will start receiving stimulus payments this weekend https://t.co/IUujSpZyi6 via @HuffPostPol,Global,ProGloCommons,1,1,2021-03-30 20:21:10
120,"Did you know that the latest stimulus bill eliminated the ACA income threshold for 2021 and 2022?

Now, just because your income jumps over the health care credit eligibility limit, your health insurance won’t necessarily go with it. Instead of the hard dollar cutoff, ARPA st https://t.co/ucBoi5ceZO","Greater Hartford, CT Area",VectorTax,0,0,2021-03-30 20:21:09
121,@pulte This would be a blessing to my family! Still haven’t received the second or third stimulus money! Goodness knows my 5 babies really need some spring clothing!! God bless you @pulte and all you do to help people in need! You make the world a better place!!! 💜💙 $danasp24,"Michigan, USA",danasp24,0,1,2021-03-30 20:21:01
122,Social Security recipients to soon receive stimulus checks https://t.co/tp0nXmGhZv #kwch12 https://t.co/bnLoWU25HK,Kansas,KWCH12,0,3,2021-03-30 20:21:01
123,@POTUS #Covidgate Anything but stimulus direct deposits to Seniors delayed 3 more weeks huh? Trumps misdirection game plan? Really dumb sir with Woodward writing about u and trump in a new book I suggest you get a clue fast.,"Rhode Island, USA",desmuma,0,0,2021-03-30 20:20:59
124,Anybody on SS get their stimulus yet ? This is ridiculous,"Henderson, NV",westernbeader,0,0,2021-03-30 20:20:52
125,"@KatiePavlich Can you look into why disabled veterans are cut out of stimulus. Got one from bush,two from Trump, none from Obama, and looks like none from Biben. Has something to do with IRS.",earth,ehlerskdog,0,0,2021-03-30 20:20:50
126,"@groovy_nat If I don’t get my income tax/stimulus because of this, trust so will I ;-;",Earth,josh6264,0,0,2021-03-30 20:20:48
127,"Don’t let airlines pack us  in like sardines-

Support us and our new Air Travel Social Distancing and Stimulus Plan:

https://t.co/4pFZkL3TAE",,FlyersRights,0,0,2021-03-30 20:20:38
128,"@_sad_boi_hrs @Coopavelli_ That’s the point of the stimulus, it’s to stimulate the economy .... you are supposed to use it for something you don’t really need or on bills","Long Island, New York",eddiebellz,0,1,2021-03-30 20:20:28
129,Stimulus check update: Senators push Biden to send recurring payments https://t.co/dbykKLxaGs,News & Bible verses USA,7SealsOfTheEnd,0,0,2021-03-30 20:20:22
130,"@knight_badger @shoe0nhead Actually in this case the sign is entirely wrong

Big business wants biden to cut the non-infrastructure stimulus parts of the bill and advisors are using idpol to argue for a bigger stimulus that also includes the ""care"" economy",LA,bucky_beavr,0,0,2021-03-30 20:20:20
131,"@4Spaniels_5 Christ, now Rettig?? I heard an announcement today that we can expect our stimulus April 7th. I am getting very tired explaining to millions of people this wasn't Biden's plan, yet he is really paying for it right now","Not left, not right, forward!",alleged_leigh,0,0,2021-03-30 20:20:18
132,I will consider the vaccine if @JoeBiden can pass a #Bitcoin #Stimulus,"Tennessee, USA",MicroMacroFile,0,0,2021-03-30 20:20:14
133,"Any other #SSDI feel like you lost alot of time worrying about your #stimulus? I am. But I feel like this woke me up, I barely tweeted before. I see what #FireSaulAndBlack are doing. Got to stop them from destroying SS. They think giving us OUR $ will shut us up, it won't work.",New York City,originalpunks,0,1,2021-03-30 20:20:13
134,Stimulus check update: Senators push Biden to send recurring payments https://t.co/aWfv3XqvKF,"Florida, USA",WalterEurope30,0,0,2021-03-30 20:20:04
135,"@AlphaQ787 @troy_skylife @2Mombie @SPLICK13 @CeFaanKim @firedupyogini Unfortunately these people really believe everything bad is white supremacy.  If I'm against these reckless money printing stimulus bills (which have benefited me) that's cause I'm racist,  not because I'm fiscally conservative.","Frederick, MD",RCannon86,0,1,2021-03-30 20:20:04
