,Content,Location,Username,Retweet-Count,Favorites,Created at
22,Does anyone smell BS? I do! #BidenLied #NotMyPresident https://t.co/PWd3n8Us0R,"California, USA",vroniv1,1,0,2021-03-30 18:23:08
23,"#BREAKING being under pressure for transparency at the border facilities,
Footage shows children r being put in cages under ""inhumane"" condition by @JoeBiden.
#BorderCrisis #BidenLied 
@DHSgov #MTP https://t.co/gUHrjSyKfB",Odyssey.Blvd ,AramFarsham,0,0,2021-03-30 18:15:40
24,Where is hollywood?? All those celebrities who were quick to speak out about migrants and kids in cages when trump was president... yall are real quiet right now .. 🤔 how convenient #BidenBorderCrisis #BorderCrisis #Trump #BidenLied #hollywoodsilent,"Eagle Pass, TX",AYonosi,0,0,2021-03-30 17:43:52
25,WaPo Gives Imbecile #joeBiden 4 Pinocchios for False GA Voting Law Narrative https://t.co/ksnpBlhFlj Only idiots don't know that Biden is a lifelong corrupt inveterate liar &amp; excrement will never be ice cream #tcot #tlot #wakeupamerica #bidenlied #conservatives @TuckerCarlson,,Bozieg1,0,0,2021-03-30 17:19:15
26,"It is Day 70 of the Biden Admin., and Joe Biden has not fulfilled his campaign promise to reenter the #JCPOA.

Biden’s policy on Iran is identical to that of the Orange Bad Man. Where are the brunch neolibs who promised to “push Biden left”?

#BidenLied 

https://t.co/nCufusQo2q",,Jazz_Phan,0,1,2021-03-30 15:55:47
27,"This is the new normal.. Thanks, #DemonsSouls #DemocratsAreDestroyingAmerica  #Democrat #JoeBiden #KamalaHarris #BidenLied https://t.co/zQ5lw4nOyx","Golden State, USA",1way_xrp,0,0,2021-03-30 15:39:17
28,"John Mellencamp has a song &amp; And it says !

USA home of the free

We are no longer the home of the free

That ship sailed a while back

News Media runs this country along with Big Tech

Along with the Woke Society &amp; Cancel Culture of the Democrat Liberals Party #BidenLied",,KrausLynn,0,0,2021-03-30 13:55:54
29,Our country is already 4 trillion Dollars  more in debt in Biden’s first 3 months months as president... what’s it’s gonna be at the end of his term??? 100 trillion “given away” to Americans? This guy fooled the retards that voted for him #BidenLied #BidenRegret,The underworld,DamonMcquestion,0,1,2021-03-30 13:52:44
30,"This is a good reminder that the fake president Biden promised not to raise taxes on those who are middle and low income.  When fuel prices go up, so does the price of goods like food.  #BidenIsNotMyPresident #Resist46 #BidenLied https://t.co/UjSjQ0DXSp",USA ,terrylou_d,0,0,2021-03-30 13:51:19
31,Biden continuing to screw up the market #trumpwasright #BidenLied https://t.co/N7G3xfp7la,"Anytown, USA",RecallNewsom,0,0,2021-03-30 13:44:30
32,Biden touches his nose every single time he speaks. He knows he’s lying and we do too. #DementiaJoe #bidenpressconference #BidenBorderCrisis #BidenLied,United States,Realchristine4,0,1,2021-03-30 13:15:39
33,"@thehill He can barely say the word ""Patriotic"" . #BidenLied","Indiana, USA",thepaulvale,0,0,2021-03-30 13:10:51
34,"@catturd2 Tomorrow, President Biden is expected to unveil his infrastructure spending and elder/disability care plan which is now being speculated to include up to $4 trillion in spending and $3.5 trillion in tax hikes #BidenLied #PissOnTheLiberals","Indiana, USA",thepaulvale,0,4,2021-03-30 13:03:01
35,"Tomorrow, President Biden is expected to unveil his infrastructure spending and elder/disability care plan which is now being speculated to include up to $4 trillion in spending and $3.5 trillion in tax hikes #BidenLied","Indiana, USA",thepaulvale,0,0,2021-03-30 13:01:59
36,@AOC when are you going to speak out against the trafficking of Mexican children on the southern border? Stand up AOC! @latimes @NewYorktimes_ON @CNN tell the truth! #BidenLied #BidenBorderCrisis,"California, USA",Battles40944222,0,0,2021-03-30 12:47:27
37,"Another day! It's March 30, 2021 at 08:31AM and a world leader gets it. Biden is a thug and a fraud. #Biden #Bidenlied https://t.co/bjBBSbr7W3",United States,Quod_Verum_Est,0,0,2021-03-30 12:31:15
38,Hmmm all the articles on @POTUS tax hikes on anyone making of 80k a year just disappeared from my browser? Wonder what they are trying to hide from the middle class #tax #bidenlied #middleclass,,reichmmj12,0,0,2021-03-30 12:28:34
39,The End #MAGA #PATRIOT #Bidencheated #AbortionIsMurder #AmericaneedsJesus  #PrayForAmerica #ResistJoeBiden #BidenLied #MyPillow https://t.co/2G7KIoKvFG,Georgia,FaithSpiritual1,0,1,2021-03-30 12:17:47
40,@jsolomonReports Must’ve been a white supremecist huh Mr. Biden?  Kamala?  #BidenLied,,rgweems,0,0,2021-03-30 11:54:21
41,@disclosetv And yet you don’t need an ID to vote. Brilliant!  #BidenLied,,rgweems,0,0,2021-03-30 11:49:03
42,"Biden revenue plan includes 'marriage penalty' putting some couples at a ‘significant disadvantage,' expert says #Taxation #MarriagePenalty #NoNewTaxes #BidenLied  https://t.co/VbEjmchlEy",Oklahoma,SusanJPatterson,0,0,2021-03-30 11:35:36
43,"How it started.                                                       How it's going.

@TwitterSupport doesn't like certain hashtags:
* #FailedState
* #UnionYes
* #UnionStrong
* #BidenLied
* #IBelieveTaraReade 

@Twitter suppresses communication in violation of its rules. 😡 https://t.co/eoZSxwb4ab",Earth 2 - Bernie is President ,march4progress,6,8,2021-03-30 11:33:18
44,Kids are still in cages. #BidenLied #JoeBiden https://t.co/1Ov7P6aRbB,,HD_Banyan,0,0,2021-03-30 11:27:54
45,"Sorry didnt get this out yesterday. Had a long work day, we cant all call a lid at naptime like #Biden

Anyone remember masks for the Hong Kong Flu of 1968, me neither

@POTUS #CancerCure
#BidenActNow #BidenLied #BidenTakeAction
#PutThatInYourPipe https://t.co/FvRkXHG4QM https://t.co/dnkjbQ8aAb",'Merica,ElizaKellee,0,0,2021-03-30 11:02:28
46,"@PressSec disgusting, #Hypocrisy this is worse than #trump admin. #msm would be livid if this was trump. #BidenBorderCrisis #BidenLied Thanks @SenTedCruz #truth
Ted Cruz releases footage of Biden staffer blocking photos of migrant fa... https://t.co/Lo7Ey4JPlW via @YouTube",,frommyglock,1,0,2021-03-30 10:55:17
47,"https://t.co/H5JxEOOaM9    #BidenLied  #CNN you idoit socialist  ""reporters""  wont even cover this but @donlemon will spout  off about rights ....#CanCNN",North pole,Truthan74310968,0,0,2021-03-30 10:41:27
